Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
24250,186210,152324,43379,36210,42078,15056,30996,50809777,66656,85087,11564,99572781,45461,51036061,16964,67785590,31812,57390763,8949,56167041,12206693
24500,176555,161206,43950,33432,39161,16090,113298,50568382,60206,74041,9784,110592771,252835,48371240,18925,98669276,30411,60755798,7595,58632662,12451082
24750,185884,163483,44053,36423,38129,13145,67185,51566473,63053,114145,11668,110087020,220294,45288901,16363,85096393,32072,61823661,7705,58619617,11735033
25000,206084,164553,44191,32647,39392,12983,134489,51531823,112437,132793,13201,110993967,76458,45749133,19018,66495426,31168,60962567,8259,58620519,12117140
25250,207123,170592,43869,35570,42834,11563,18746,53282712,89069,153546,13194,111610541,189328,54492211,19868,67273515,1278559,60514727,7603,60077485,12369051
25500,255154,168687,43602,39210,45787,10878,58965,52547683,69690,93364,11719,112834461,85930,48573681,20469,68410740,62271,61609448,7782,60976449,12366538
25750,263521,175204,43646,39108,57703,12984,45063,53012031,2729600,108035,9522,113798483,51749,47404254,15828,69212867,66032,63447891,7671,62673643,12835833
26000,327591,195077,43899,69565,44711,23095,20032,53907357,54935,83826,9509,113128172,65953,52729811,19445,70146081,49143,63989813,7787,61424373,13141354
26250,306245,179492,44441,39558,43667,30002,18082,54935716,65809,74915,9435,114493809,57328,60897305,17449,69162958,49711,65186607,13397,63867780,13277052
26500,401337,177835,44191,94031,40542,17124,18910,54960894,51948,137690,9539,113486798,51227,60083552,18930,69131915,50752,66651377,8679,64311360,13624141
26750,482279,173797,43648,39100,40839,9421,20707,55887468,51459,98348,9504,116589922,53560,60781651,18103,70519846,107652,66004331,8713,64524390,13288405
27000,743654,188432,43516,37099,44208,10272,17293,55873084,54802,128825,9440,117621211,52106,61779973,17762,70261456,63736,47808463,8427,61127306,13203096
27250,770104,200706,44785,36550,48784,14319,16818,56115022,53008,63241,9656,116989277,52868,62306658,18614,96563493,61162,49211200,9005,64793121,13289528
27500,696850,201068,44110,35135,48589,13028,18023,56689758,52267,93054,9652,115922416,55579,64910286,21738,72839782,59593,58219057,7671,64937731,13208169
27750,507796,200030,44390,46336,50230,12542,16082,58972765,54661,59163,12189,115227540,56306,63359733,18824,81878534,58513,47530422,23773,67264102,14018235
28000,388270,184550,43699,38504,46659,12036,17335,57655464,56426,56061,11512,115200334,59599,64317975,16993,80030137,143362,64978764,21784,66045458,14140924
28250,255469,183791,43622,99397,45967,12806,17241,57250878,57146,56575,11543,111201837,60464,66147229,19731,90703101,483657,69467463,21640,67996502,14393972
28500,400002,187481,43587,68761,48068,12003,16203,58309518,54029,59437,12874,106208642,278351,65492001,17908,84403998,186972,70670748,19059,61013255,14761272
28750,263215,179871,44370,97778,48582,13016,17402,59782224,56665,58579,12506,112492100,63627,66756199,18229,92054972,221710,73787483,16291,47720406,14191909
29000,233924,185257,44718,104330,51684,12292,19079,59442972,151154,58965,9449,119924162,56654,65834796,17954,99099317,151039,72841674,10954,59827051,14489512
29250,230997,192781,44002,46563,40963,12215,19257,59450862,66940,60865,9201,120939148,47839,70288831,18440,96220488,105737,71272626,11652,47013047,14935132
29500,12371431,169073,44178,41911,42976,12494,19440,60556611,59169,57255,9052,121553812,47948,68957489,17184,93280854,47547,72798859,10174,56452017,15081068
29750,517380,176229,47085,111062,41038,11279,16454,62501828,59514,56152,10483,118237767,48956,68164938,18417,82499372,55916,74512651,11006,49082704,15205560
30000,765468,213499,46665,41143,58611,11549,17264,60664556,63765,58856,9658,122701482,48937,68193608,18753,74984970,47313,75619848,10546,58007050,15485622
30250,2751299,210986,46429,38839,46635,11469,18081,63412976,61599,54228,9023,125300153,51767,62765525,20025,75456859,177751,66372283,8258,60880859,15938180
30500,273734,195720,46207,38881,50942,12425,15651,62490645,55738,64827,47885,122880913,45986,70425737,17661,76523097,135511,52326661,21871,75295577,15690291
30750,255505,181336,46460,40879,40102,12114,20073,63023509,56304,60260,10391,124549377,46825,63331505,20751,77003323,133087,52019873,24715,75887261,16003603
31000,231670,195273,46408,284067,37868,13082,19939,63331650,55630,57888,9003,119923179,46818,59492481,19420,78199441,259614,59366527,22288,76507273,16048274
31250,230013,212331,46408,161961,40611,12166,18161,65828112,56644,60386,8980,120918359,46633,61757927,19264,80065270,46428,63824092,34155,76279130,16078507
31500,223801,177806,46661,54164,37016,11714,20672,63569163,55808,59804,9078,126015759,66982,60579271,19771,79894100,75124,53959040,33615,74526896,17411398
31750,237732,196726,47087,74746,40013,12732,15940,63987453,58229,62356,9142,129098977,47797,65723107,19288,79499324,103279,63595181,22172,76359859,15888670
32000,258989,193082,45840,159976,38779,12614,34613,65061793,55120,60251,9267,123345601,48492,60299672,19050,86098547,89792,78241485,19054,77942675,14815998
32250,225979,224046,46366,95962,40837,12963,29246,65768249,57415,60752,9262,127837902,48631,61328698,23495,78890031,40462,68913720,21691,78910977,15030630
32500,217635,231538,46868,83523,39515,11930,56199,68139517,58387,62054,9080,129937557,51924,61442747,20433,77370228,73091,72956569,9602,80298848,17251764
32750,214562,234885,46786,80456,47367,12399,35269,66699045,58110,73761,9124,128713403,45364,66236348,22911,78813453,166429,62887168,15940,79752468,15889908
33000,222814,233005,46677,48394,44755,13160,21861,67578548,57117,65832,9055,128915366,45021,61781511,18685,82218527,2581541,59713851,13925,80513229,16825783
33250,206231,209175,46899,37416,43866,12248,26073,68108350,57120,59994,9078,132019169,41730,64154069,21528,82987478,61727,65850160,12029,82068795,16976456
33500,209852,188252,46324,140283,45101,13266,29740,70911229,61718,60196,9090,132713642,43656,65253865,20921,80143736,61923,60709640,13591,80906481,17248424
33750,199077,187409,46825,51133,45536,11725,25288,71509408,62122,60543,9262,133386446,41620,63877111,20335,82921721,38541,76786605,9973,74451019,16786900
34000,212122,197162,47432,58953,74428,13448,27970,70666277,60242,65175,9006,132288349,42193,65699477,21780,83500516,38235,62639395,10175,62683852,16656482
34250,214486,203833,48871,188690,50433,12852,24366,70561776,58078,61031,9666,133999682,43979,67904774,22677,84235493,34809,58195385,11851,56854844,16927774
34500,200658,244880,47679,56950,43306,10933,20855,70876217,62931,89770,10429,135530549,45044,68614845,22640,84965125,34031,62096717,10522,56088130,17331736
34750,204276,284665,47970,46532,50409,12002,28354,72424059,62185,58275,10307,133277918,45856,76555923,23225,83925642,38248,69460354,9642,62223817,17018354
35000,215752,259617,46804,306900,106821,12791,19740,70978458,60825,57168,10380,135149143,42698,75830902,22756,86038418,41726,72951074,9229,59282895,17696259
35250,270408,273106,46637,79245,57698,12490,26299,72453312,58279,56289,10641,133060225,43084,71860196,21434,88101988,50664,75367610,7801,69970837,17955324
35500,200640,268166,51159,83734,201228,13204,25048,72698518,63196,58584,10096,134738285,45655,74589211,18973,82957480,78717,58821214,8368,62520823,18134708
35750,194622,282817,53764,63925,52877,12961,26851,72410784,60974,59175,9992,135544972,46252,74970701,18138,85819126,57309,60525948,7701,64161450,17909114
36000,192810,273044,53785,74414,42535,11964,22261,75034479,66801,57548,9956,135845627,58196,69657338,19390,86535367,48037,60206076,7700,61565005,17658623
36250,190676,277112,52871,96077,40362,12270,23580,74141199,66534,63187,10027,136933210,48623,69926283,19527,88853048,59937,64237017,7967,60873753,17959453
36500,189656,284657,51746,87255,45377,12306,30231,74046728,62596,63452,9180,137384503,50872,72482488,20962,89221197,36105,63861126,15901,61932065,17637176
36750,185814,280226,50883,37427,45940,12533,30735,75300402,67374,78327,13777,137100801,48034,79482130,21376,90146680,31446,66192477,7754,66542368,18444316
37000,186446,289133,51100,37154,63140,10866,19765,74338067,61664,55234,9805,137079114,48250,71374590,19997,86123887,32004,72992841,7510,68488745,17829652
37250,188563,297824,51371,50303,130104,12251,17280,75593535,62873,60228,9714,137202561,51579,103166582,20184,87515378,32613,75573442,7431,67950213,18798428
37500,188343,349074,51049,38256,43590,11792,14509,77982132,60356,62714,9440,138997369,74838,98295257,18679,87451383,50934,76598192,8288,92484641,18620128
37750,180856,217757,50390,34820,42741,12226,22828,76310812,62175,55331,9030,140729273,57695,68724417,19412,88826225,32633,78057685,16359,93944345,19151249
38000,176158,213179,49483,33335,41706,12597,21162,83293218,65221,57131,9048,138468343,54872,71258414,21417,89788032,31768,80339336,15115,93677796,19834377
38250,338773,227926,50658,43820,41896,12632,16945,78772359,70999,55352,9072,141984422,53915,70176125,21032,93559880,34431,69393575,45709,89878820,18849828
38500,962865,224643,50066,36051,45120,12534,14326,78841549,77489,57677,9090,139990559,61185,73626332,21166,95576506,32108,74890087,8636,83062256,19411595
38750,915814,243226,49709,70463,46069,13769,12793,77951476,255700,58534,9132,144809923,70998,77417637,20599,94461399,36162,84957039,7831,88537728,19714575
39000,695177,342457,49495,35757,48546,11448,16764,78145296,95847,65066,9067,143764542,55314,75550445,44363,94558996,35790,79554911,7909,93403654,20036349
39250,421845,234827,48753,35739,53159,14064,18738,80325389,82275,60989,9147,127562846,48253,76513600,19112,90751135,37031,95034762,8093,97207942,20185650
39500,296355,226219,48414,37760,56441,13203,16464,81224606,77040,62787,9253,127607994,52022,75980444,19126,90025924,36958,77214252,7685,95443988,21324807
39750,284741,243854,48449,37374,61953,12792,17134,81792334,84616,57261,9226,146197353,54064,78503193,17397,91732337,33713,81793935,7859,97142105,20177162
40000,266447,272526,47413,35779,90712,12930,18472,83738438,78181,61752,9407,145258080,56387,86696117,20169,93205771,44118,74619786,10425,97511113,20767150
40250,307058,247219,47291,37213,71955,13428,15052,83489322,72615,60040,9300,145165093,59315,75892935,18943,92464986,82434,85153093,8554,99966555,20798679
40500,286216,244185,48301,37989,67983,12590,19778,85813269,70470,65287,9779,146150026,65430,86190493,20738,95596033,40382,79534506,7996,100831826,21040606
40750,239245,260601,61027,38108,43279,15609,17389,83127615,74241,60721,9525,147259792,52461,83549595,19753,96404402,31318,87243993,8469,100474003,21490574
41000,246975,245701,47174,40793,43152,13908,15096,86140169,73002,59234,9073,148488288,127596,83554467,21696,100269427,31487,83253499,7372,99256597,21374837
41250,228995,235759,47707,35856,100648,13706,16417,86335185,99355,59545,9158,148356821,48315,83216063,21326,96878282,29523,83123318,7736,96751438,21276607
41500,228740,243005,47361,37594,120992,12961,16286,87176723,79034,59972,9097,151994527,46752,85820465,21786,98257307,32018,87751799,7344,101409856,20819043
41750,228962,243919,46984,85918,48211,14182,16383,88238849,79576,61528,9017,149427330,45493,78615211,21588,97448469,54035,93373055,7680,103402483,20336811
42000,367410,246961,47231,45893,56297,14585,18841,86816835,70688,62752,9059,150042400,43490,79831706,22644,94721612,69188,75790039,8008,104132474,20571557
42250,313604,245520,46557,37554,86047,14209,16631,88622513,74995,60354,9061,150408275,42780,88592552,22133,94127287,129385,99163822,7751,106752620,21169845
42500,304193,262592,46040,148137,42753,13864,18009,88971006,123761,58356,9323,150330370,43852,92249916,19772,98564029,48252,87470490,7706,99646332,20797633
42750,257844,209093,46479,90943,43013,13155,22592,90867152,82216,58910,9172,146619573,79705,84492247,19256,95813512,146560,82934070,7899,105916209,21083138
43000,241803,293629,46351,38131,40557,14052,24940,91872092,83035,63468,9052,135917448,97375,82709820,22644,99196566,121274,89278149,7332,106123582,22176899
43250,226051,284034,46396,38124,93577,15278,17041,91070418,85659,61490,9515,136600765,162435,96917807,21768,100372796,130604,85840453,7620,105241018,21251423
43500,226113,245926,46361,36189,339012,13493,16231,94984534,98010,57087,9170,142937318,223041,99636283,21852,102112079,68412,95589706,8014,110913787,21252885
43750,235149,265801,46782,165433,267323,13174,15390,90504183,84055,68623,9092,152138166,71396,92823261,20260,100738741,60602,82199471,7705,103100424,22164552
44000,212989,288451,46370,386512,222182,13265,18367,91195202,83556,63307,9181,154901688,164760,86757258,17717,101798374,147850,93569344,7888,111919543,22379959
44250,216617,298766,46109,101393,95014,14656,23799,93467946,75219,56994,9210,156304736,77069,83298983,17864,105464951,89780,81134061,7729,108818129,22739447
44500,225725,221929,45888,60453,76044,12379,28063,91734401,81001,58756,9107,159421571,57844,98346001,17658,103281587,84599,84548785,8126,109390469,23122708
44750,205390,292431,46408,115757,54935,13839,20267,91537298,79984,62337,9018,157426477,42391,90277342,18493,103172651,51115,101331489,7829,110508560,22305215
45000,201066,304055,46392,88282,55737,14040,95923,94147312,78152,63894,9012,161990148,52229,106746705,17638,103953767,38783,95038865,8107,110132346,22404324
45250,199547,354847,46322,61916,102619,15454,56991,94502352,82546,63066,9229,150270912,61167,101677481,17512,110537450,35626,81016136,7913,111380988,23075478
45500,200477,316740,46513,48505,47194,13587,35251,94993539,80391,60685,9118,154063393,53952,93089666,19082,104756804,40592,85615422,7776,112469870,23294382
45750,232628,317087,46143,40593,40935,13321,37199,97507234,73941,62564,9238,157714251,45503,90951888,18927,107194368,31157,83671174,8004,111250434,23524011
