Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
93000,202934,308104,46497,33612,37638,79756,15697,319929239,89561,95099,10405,255247310,52474,284789304,31703,354955661,26751,220308803,8301,225159695,57527538
93250,232178,311109,46562,34678,48483,50994,17228,303583010,87849,85419,10617,278182918,57921,311565145,21857,361949672,27218,226768542,8377,226474240,57111522
93500,209387,328488,46701,33319,39090,95179,20000,297803905,89520,80029,10696,271317218,53402,299293425,20680,311898036,26662,219860771,8622,223493505,57160031
93750,212330,361487,46560,41193,36487,41457,22626,305510730,90680,81269,10625,277477707,55992,301757941,24307,335103582,27399,221046183,7589,182730717,55275195
94000,218294,308719,64847,82519,36656,27642,121180,314079605,164076,78135,9368,296466081,55954,319646552,23112,350778468,26657,219990230,8355,228121588,56854030
94250,199947,335619,95498,73918,35781,47024,29690,311524823,139443,80302,6751,239381772,60589,312814505,24642,351701238,26539,225118374,14901,220836537,56040338
94500,203903,307275,51285,92303,39116,43195,54126,309571519,140536,81217,6639,245902177,63533,315293608,28079,395692352,29449,206166392,8523,225388241,58448094
94750,197353,297563,51198,90520,43204,16358,247827,326810509,143045,82357,6910,281546905,43102,289980835,24952,354162624,26106,223034417,7828,228070787,57544212
95000,192746,300306,51318,42221,37757,11962,42236,350412513,126663,93323,6616,274628342,42410,306098400,18048,344902651,27131,223901375,8793,229301010,59240256
95250,198762,303471,89705,51320,39351,15412,25252,338846647,128455,100176,6624,301563707,41456,325411646,18694,322562170,27002,222443108,8559,229608519,59021400
95500,201512,301134,99214,88968,38673,15564,132802,325571550,128905,96954,6609,315226419,44114,321786457,17772,319072772,28738,230564310,7986,203902548,60003226
95750,199205,303491,46792,57471,35928,13515,80953,333080143,136877,113596,6641,298192742,42731,329902658,15828,293033023,26925,221522424,8027,163669750,59335521
96000,194479,315144,46544,38763,37929,13146,22465,330748999,132197,107843,6814,312840070,43881,328898763,16736,302697865,28636,205144149,7815,166374762,61719121
96250,202373,337836,48078,36139,34681,13712,22999,320021572,123662,85055,10774,320840714,40508,327094270,18025,275353504,26301,176391805,8087,194087446,59947963
96500,230069,336916,46367,39394,40044,13576,52336,334717485,145139,91613,10612,313446893,46069,337356188,18661,277175394,27306,222226096,7835,228226897,59334195
96750,205468,367322,43492,169389,36857,12849,22456,326322732,145006,94680,6612,308759539,43648,334120447,17755,321624381,26182,222561114,10315,229446611,59304727
97000,236300,400235,43341,159843,35074,15364,14953,327999208,133326,92629,6728,332380007,41637,336127754,18976,388453285,25389,177374661,12170,233318893,59985270
97250,211414,379142,44046,121434,37177,16889,16218,337823835,95227,127221,6615,330090117,46394,342055751,17238,364844293,28801,230012087,12161,231979837,60727388
97500,215940,433215,43965,44424,35309,15145,17774,342894978,96072,104719,6767,332643117,43540,331168229,19857,373847824,27099,222626799,8409,218087976,61568196
97750,213693,490750,43607,126443,35858,12416,17264,338202325,88353,93900,6693,329227192,42363,341159380,19094,442604720,27272,201603746,8315,229544548,59090983
98000,216192,443562,66487,151756,39114,13010,14000,340118171,89742,96046,6603,300594542,43424,355289383,18924,455368882,27770,215749769,8255,230036946,57599934
98250,208711,485396,44253,67094,37711,13493,14546,342972567,89811,77890,6638,280131484,41512,352634698,18176,471262497,27235,227971166,8152,193320702,57394241
98500,213614,579064,44422,64095,35193,16122,15662,337434200,88001,76541,6696,335134272,41054,347999352,18765,468525490,27434,225397078,8477,187004709,58564621
98750,217222,497279,43767,44497,36972,42389,19085,349255353,87579,64166,6677,345822982,42406,358171094,20176,435821719,27412,228419706,7905,228902218,62152684
99000,214367,426466,44173,51004,34894,30372,17909,351952581,92658,71851,7006,336785456,44006,353589479,19598,493602822,27808,226083780,8543,228438416,63151721
99250,206422,528072,44148,39014,37560,13299,17184,352273388,87984,71274,6767,343378116,40515,363186623,19229,498486665,26793,225686005,7714,223887502,62807363
99500,207217,603585,43825,50162,37364,13709,34723,351328421,92685,72926,6770,343821798,38356,364856504,21378,540522264,26858,232468930,7936,185122745,63980948
99750,212250,347995,53611,40102,36361,17147,13684,346368795,91745,66520,6763,319140478,37731,366080551,19843,571191025,27314,228758444,8413,185194654,63921812
100000,213449,353014,82137,41319,37426,16667,16196,353289238,97173,68206,6757,356209798,42534,364111470,20926,565661522,27242,224282982,8230,225756492,65526981
100250,219426,570286,82906,38017,38787,15410,17107,349986714,93724,66123,6730,352968968,43504,345495897,19300,539283466,27119,226421974,8153,226352545,66710791
100500,206672,578036,55425,43205,37912,17235,14367,362447354,111656,66950,6913,350725341,45757,375603815,20419,525916481,27202,222312023,9259,228225692,65187614
100750,207258,514004,51330,39471,38810,15660,15093,359689042,124809,66749,6746,360706185,41120,395680618,20317,565857004,27799,223562978,7898,208305176,64862463
101000,228490,487373,48411,41942,38741,16467,20644,363190837,117626,66034,6759,358070223,46301,387436443,18912,423291847,24868,227228882,8046,181137934,65430833
101250,205816,460618,58463,47710,37181,16945,25653,362894019,123289,66978,6726,308257969,47121,424167170,19389,623095785,26860,222779858,7897,194514619,66211808
101500,208989,407924,59826,39942,42924,16907,13886,364291865,110406,68553,7480,315926900,48523,383694134,22226,495144925,27003,212850930,8081,177747175,65722260
101750,200696,579155,44878,36069,36775,16918,14169,352723488,99910,74062,6795,326324540,49351,363244894,23071,598403909,25167,210985245,8798,207287297,67827497
102000,204932,512183,44572,40158,38282,16714,15939,358569526,105673,68428,19320,359572171,45203,392932394,29465,565096643,28354,227625946,7046,229456303,65946723
102250,200974,429035,44208,39547,34173,19140,15087,375839989,98906,68909,33149,377126697,45059,387860364,24302,655760683,24234,190649611,7279,233614458,66826872
102500,216997,592597,78532,43913,35248,17083,14262,358840422,108758,68444,7378,371163301,48460,378360750,25176,632215435,27012,214521133,7504,219789204,66946310
102750,204545,483813,86003,39451,36438,15833,14096,385712522,120026,71496,7182,363216613,44388,406053295,26836,755261312,25192,231018532,9120,227864462,67350502
103000,194939,537911,170165,39470,32928,14242,15849,366500349,11250451,75278,8013,387360883,44081,466237699,27471,571685506,24353,230487377,8905,228326730,67409531
103250,209116,589783,44125,50416,32440,14534,14740,367496278,77122,77020,8229,382847437,49541,512430280,25709,696114251,27893,226793338,8601,207532294,67999860
103500,200520,428653,157070,33560,30489,15795,14251,377759221,73331,92250,7361,386089745,51079,486613597,27250,542554065,24867,233009685,7997,229976398,67983034
103750,199337,482645,60937,33056,32273,14554,18640,369107336,77071,77951,7489,389415034,45746,511378354,28098,518136978,24895,218648788,7513,235835488,72375194
104000,204192,609562,43856,34766,31578,12670,15367,377210006,71698,79513,7456,381385812,66445,677226095,28680,761406050,25171,235119458,8156,236890325,68237067
104250,200341,445436,44431,35280,34338,12427,13929,380017681,68361,82319,7109,403122166,43226,441531640,45035,773101904,25862,218046794,8230,236527835,67139530
104500,89574,186913,21021,15590,13481,5252,8993,172897336,33696,42627,3318,179890183,19625,199291863,15860,384119867,11715,107529730,4398,117819158,31324456

